province,crop_type,soil_type,season_rainfall_mm,avg_temp_c,soil_moisture_pct,irrigation_mm,fertilizer_kg_ha,pest_pressure_index,farm_size_ha,yield_tons_per_ha
KwaZulu-Natal,Maize,Loam,569.5,23.2,26.5,105.8,239.2,1.26,4.4,7.84
Mpumalanga,Soybean,Sandy,542.3,21.7,34.5,102.0,188.6,2.62,20.5,2.65
KwaZulu-Natal,Sunflower,Loam,213.4,19.9,22.4,144.9,169.8,2.54,40.6,1.76
North West,Maize,Loam,649.1,27.0,28.3,105.6,206.7,2.67,14.3,21.06
Mpumalanga,Wheat,Loam,484.8,15.6,19.8,36.6,106.7,1.87,17.8,3.44
KwaZulu-Natal,Sunflower,Clay,476.2,27.8,26.5,56.3,223.5,5.01,13.2,1.18
North West,Maize,Clay,591.8,20.9,32.8,151.0,171.0,1.01,61.0,6.76
Limpopo,Sunflower,Sandy,949.7,21.9,51.1,270.3,95.0,4.51,46.7,3.57
Limpopo,Wheat,Sandy Loam,592.1,18.2,29.5,67.4,229.1,1.62,12.2,3.94
Free State,Sunflower,Sandy,680.5,22.1,30.2,0.0,155.7,1.83,37.8,2.07
North West,Maize,Sandy,276.0,25.0,15.8,78.2,128.0,4.74,18.6,3.27
KwaZulu-Natal,Sunflower,Loam,405.0,25.4,20.4,92.2,227.8,3.69,19.4,2.49
Free State,Wheat,Sandy,779.1,22.6,43.9,139.4,131.9,2.84,1.2,4.06
Free State,Wheat,Sandy,744.0,23.0,42.9,265.8,246.7,3.33,70.3,5.65
Limpopo,Soybean,Loam,679.5,19.7,37.6,0.0,241.8,1.04,21.0,4.4
North West,Wheat,Loam,754.8,18.9,41.1,218.4,164.2,3.59,46.9,5.69
KwaZulu-Natal,Sunflower,Loam,449.6,22.8,28.1,70.8,134.4,2.98,6.6,2.2
KwaZulu-Natal,Sunflower,Sandy Loam,605.5,20.3,27.3,167.0,281.0,2.84,21.4,4.04
North West,Sunflower,Sandy,720.2,19.2,39.3,190.8,71.2,2.44,1.0,3.16
Limpopo,Wheat,Loam,369.2,17.6,11.5,82.2,229.1,1.62,59.9,3.75
Mpumalanga,Maize,Clay,594.9,24.2,35.3,116.2,326.2,1.99,16.5,6.2
Free State,Maize,Loam,525.4,21.9,31.3,91.8,230.1,1.59,86.4,6.98
Mpumalanga,Wheat,Clay,465.8,27.1,26.9,91.3,218.8,3.62,6.9,3.2
KwaZulu-Natal,Soybean,Sandy,484.9,16.5,21.2,55.0,193.5,1.89,39.2,2.84
Limpopo,Sunflower,Sandy,565.3,20.0,23.7,93.3,160.9,2.53,28.3,2.08
Mpumalanga,Soybean,Loam,866.1,24.5,42.2,297.5,157.9,4.19,4.8,5.14
North West,Wheat,Loam,696.5,23.5,30.1,170.1,212.6,2.15,43.0,5.18
Limpopo,Soybean,Loam,707.2,26.3,46.2,149.2,99.7,1.97,6.5,4.93
Free State,Maize,Sandy,443.0,18.2,29.1,213.1,174.8,1.09,35.2,4.86
North West,Sunflower,Clay,667.9,24.5,32.4,0.0,204.3,2.2,24.2,3.01
North West,Wheat,Clay,649.2,18.6,30.4,72.7,162.9,0.39,6.6,3.81
KwaZulu-Natal,Maize,Loam,605.3,19.7,32.1,128.5,87.4,3.22,4.9,7.2
Mpumalanga,Wheat,Sandy,568.9,30.7,40.5,35.0,244.5,4.97,42.7,2.24
North West,Sunflower,Sandy Loam,686.1,16.4,45.4,84.2,109.2,4.2,24.9,1.94
Limpopo,Soybean,Loam,211.1,21.8,5.0,186.5,251.9,1.99,14.1,2.86
Limpopo,Wheat,Sandy Loam,624.6,19.7,31.3,0.0,66.6,1.23,37.8,3.32
KwaZulu-Natal,Sunflower,Sandy Loam,581.7,24.0,38.4,267.8,228.7,1.88,163.0,3.01
Mpumalanga,Soybean,Clay,609.7,24.6,23.3,223.6,244.3,1.5,29.5,4.08
KwaZulu-Natal,Soybean,Sandy,538.1,20.1,31.8,35.5,141.1,4.32,140.7,2.58
KwaZulu-Natal,Maize,Sandy,391.9,24.3,18.0,112.0,111.7,8.0,2.1,3.4
Limpopo,Wheat,Sandy,397.4,19.5,18.5,136.9,132.5,3.79,61.5,2.91
Limpopo,Wheat,Sandy Loam,683.9,14.2,42.0,24.9,170.8,2.61,7.4,4.65
KwaZulu-Natal,Maize,Loam,525.9,23.5,29.4,40.6,295.6,4.59,9.6,6.83
Free State,Sunflower,Sandy,400.2,25.6,16.0,78.8,55.0,1.69,61.0,1.05
Free State,Soybean,Loam,422.6,27.6,12.9,163.5,287.8,3.01,8.8,3.51
KwaZulu-Natal,Sunflower,Loam,381.7,24.5,21.1,84.4,129.3,2.2,23.6,1.19
Limpopo,Maize,Sandy,424.9,23.7,23.3,27.8,162.2,0.78,18.7,5.21
Limpopo,Wheat,Sandy Loam,441.7,14.2,13.1,33.7,272.7,1.58,17.3,4.47
KwaZulu-Natal,Maize,Sandy,502.6,21.8,18.7,32.3,230.4,5.69,34.0,4.54
Free State,Soybean,Sandy Loam,462.1,25.1,24.7,191.5,152.7,1.54,19.5,2.68
North West,Sunflower,Sandy,554.3,20.9,31.0,171.0,157.8,1.53,15.8,2.39
Limpopo,Soybean,Sandy Loam,556.3,19.8,31.1,165.8,207.3,1.35,12.7,4.47
Limpopo,Maize,Clay,377.9,19.6,26.3,156.1,197.1,1.56,13.3,5.96
Mpumalanga,Wheat,Sandy Loam,621.1,25.8,47.9,180.9,146.9,2.28,9.5,4.54
North West,Sunflower,Clay,503.8,26.3,26.6,36.6,197.1,3.59,26.3,2.12
North West,Sunflower,Loam,462.6,24.3,22.2,84.0,189.1,1.06,53.7,2.34
Limpopo,Wheat,Loam,670.2,24.7,32.3,143.4,114.2,2.9,41.4,4.96
Limpopo,Soybean,Loam,508.9,20.5,31.2,30.9,227.2,1.57,7.3,3.71
Limpopo,Sunflower,Clay,396.4,21.3,18.3,0.0,155.3,3.45,27.4,1.51
North West,Sunflower,Clay,639.4,18.5,32.1,183.4,230.0,1.41,47.5,2.9
Mpumalanga,Maize,Sandy,359.3,29.4,13.0,42.2,210.5,0.68,9.1,4.18
KwaZulu-Natal,Maize,Sandy Loam,539.6,23.6,27.5,19.0,249.9,3.85,31.6,6.65
North West,Wheat,Sandy,396.9,18.3,24.1,110.0,168.4,2.63,10.6,3.02
North West,Maize,Sandy,622.2,19.2,27.2,127.9,227.9,4.39,8.8,5.8
Limpopo,Sunflower,Sandy,662.7,19.4,46.7,214.8,122.2,3.86,5.6,2.09
North West,Wheat,Loam,610.7,24.7,31.4,79.9,238.0,1.65,34.7,5.04
Limpopo,Sunflower,Sandy Loam,759.5,24.9,31.6,155.5,209.4,5.65,29.2,3.43
KwaZulu-Natal,Wheat,Sandy Loam,571.7,25.1,29.7,345.8,156.8,4.46,19.8,4.64
KwaZulu-Natal,Sunflower,Clay,399.8,27.6,19.1,262.7,264.6,1.44,23.9,2.97
KwaZulu-Natal,Soybean,Sandy,509.4,20.2,30.7,170.1,105.3,2.14,39.0,3.12
North West,Soybean,Sandy Loam,561.4,18.9,30.5,146.8,49.4,3.26,50.7,3.12
North West,Maize,Sandy,420.9,26.7,21.0,288.9,162.7,2.1,4.9,5.41
Free State,Wheat,Clay,804.2,21.6,37.1,131.2,133.8,1.87,32.4,4.95
Limpopo,Soybean,Sandy,508.7,23.6,15.3,5.2,186.9,2.75,14.9,2.57
Limpopo,Soybean,Sandy,668.7,23.6,42.9,37.9,20.0,1.15,39.1,2.58
North West,Sunflower,Clay,491.2,22.5,21.3,64.5,160.7,2.92,15.4,2.1
Limpopo,Wheat,Sandy,242.7,22.7,12.9,61.0,138.2,1.17,12.7,1.86
Free State,Wheat,Sandy,368.4,20.4,26.4,144.4,171.8,1.29,7.1,2.83
Limpopo,Sunflower,Sandy,594.4,19.6,29.0,64.2,163.8,1.69,2.1,1.87
Free State,Sunflower,Sandy,603.6,23.3,23.7,253.0,169.3,3.8,96.2,2.54
Limpopo,Wheat,Loam,482.4,19.2,26.0,25.0,151.0,3.14,8.8,4.28
KwaZulu-Natal,Soybean,Sandy,610.2,22.3,31.5,143.7,140.0,1.99,10.1,3.29
Mpumalanga,Wheat,Loam,681.3,26.3,32.6,138.9,229.2,4.4,10.0,4.52
KwaZulu-Natal,Sunflower,Sandy Loam,630.0,19.2,45.2,91.7,289.8,2.55,4.3,3.33
Mpumalanga,Soybean,Sandy Loam,622.8,21.9,25.2,147.7,239.9,0.78,48.4,4.42
North West,Wheat,Loam,407.9,22.3,28.4,93.1,282.6,1.54,57.7,4.57
Free State,Soybean,Sandy Loam,648.8,19.4,26.1,207.3,115.0,0.19,55.6,4.33
Free State,Maize,Clay,748.8,19.1,40.6,35.8,43.9,2.67,9.9,6.19
Limpopo,Soybean,Loam,548.8,23.1,26.2,192.3,226.0,1.49,13.3,4.6
Mpumalanga,Soybean,Loam,651.3,12.0,36.2,0.0,259.4,2.95,4.0,4.49
Free State,Wheat,Sandy Loam,471.9,25.5,31.1,119.0,242.3,2.6,45.9,3.84
Free State,Soybean,Clay,724.2,18.4,45.7,0.0,229.5,1.28,1.0,4.49
North West,Wheat,Sandy,586.0,25.9,34.4,83.2,28.5,2.05,7.0,2.61
Mpumalanga,Sunflower,Sandy Loam,455.3,20.6,26.7,109.8,298.4,3.96,91.5,2.79
Limpopo,Wheat,Sandy,767.2,21.0,39.7,176.4,184.7,2.88,33.3,3.91
North West,Sunflower,Loam,430.0,21.6,24.2,5.0,148.6,4.13,19.2,2.23
Free State,Wheat,Loam,622.6,15.0,33.3,84.5,235.8,0.65,22.0,5.26
Free State,Maize,Clay,329.7,25.4,28.9,149.6,294.7,4.65,30.9,5.21
KwaZulu-Natal,Maize,Sandy Loam,523.4,19.3,33.1,147.4,134.3,0.57,14.2,6.7
North West,Sunflower,Sandy,560.9,22.5,36.4,174.0,139.1,1.94,2.9,1.91
North West,Wheat,Clay,339.3,26.5,18.0,152.0,107.7,0.62,96.9,3.22
KwaZulu-Natal,Wheat,Loam,538.6,24.1,30.3,61.0,159.4,1.28,4.0,4.55
KwaZulu-Natal,Wheat,Sandy Loam,928.0,22.5,44.9,0.0,144.3,2.3,31.6,5.17
KwaZulu-Natal,Sunflower,Clay,507.2,15.0,33.5,72.1,127.9,1.27,68.1,2.07
North West,Sunflower,Sandy,725.7,25.6,42.2,171.5,176.9,3.33,11.4,2.21
KwaZulu-Natal,Soybean,Loam,712.6,22.7,44.9,88.1,200.0,3.49,29.9,4.77
KwaZulu-Natal,Soybean,Clay,742.8,22.2,33.9,131.2,143.8,4.25,18.2,3.91
KwaZulu-Natal,Wheat,Clay,754.8,19.6,33.3,186.8,185.5,3.18,43.7,5.45
Limpopo,Soybean,Loam,440.1,18.8,20.8,128.0,177.9,1.87,29.7,2.88
KwaZulu-Natal,Sunflower,Sandy Loam,554.0,18.8,31.1,115.3,114.1,2.67,14.6,2.82
Limpopo,Sunflower,Clay,506.5,16.9,28.7,267.9,179.7,3.6,2.6,2.91
Limpopo,Soybean,Clay,625.6,20.9,24.8,63.5,222.9,1.53,11.9,3.64
Free State,Wheat,Clay,488.0,26.6,33.3,43.4,182.1,1.12,54.8,3.36
Free State,Wheat,Clay,494.8,23.4,31.7,104.9,180.9,2.8,49.0,3.25
Mpumalanga,Wheat,Sandy,440.0,19.5,22.6,0.0,187.1,4.85,43.5,2.55
Free State,Wheat,Loam,410.4,24.7,21.5,19.9,107.8,1.5,43.1,3.2
North West,Maize,Sandy,529.3,19.3,29.4,88.9,116.6,2.71,33.2,4.7
North West,Maize,Clay,526.7,23.5,23.0,81.7,243.6,3.7,43.9,6.02
Mpumalanga,Sunflower,Sandy Loam,488.5,19.1,21.6,138.9,91.1,4.62,29.1,1.62
Free State,Sunflower,Clay,643.5,19.2,28.6,0.0,201.6,4.64,18.5,2.1
Limpopo,Sunflower,Loam,322.0,23.6,20.4,80.3,241.2,2.95,15.2,2.36
North West,Sunflower,Sandy,804.9,20.5,48.0,194.2,66.6,2.63,50.8,3.17
North West,Maize,Clay,381.2,25.8,16.8,341.1,265.5,1.27,35.1,6.42
Limpopo,Sunflower,Clay,524.6,20.6,23.0,331.9,184.8,3.54,4.9,2.66
Free State,Soybean,Loam,661.9,18.6,34.9,0.0,233.6,3.0,2.3,3.98
Limpopo,Maize,Sandy Loam,651.1,15.8,32.2,189.1,83.9,1.63,35.6,7.0
Free State,Maize,Sandy Loam,734.6,19.3,42.7,53.7,175.3,0.17,26.2,7.9
Free State,Soybean,Loam,338.9,20.9,23.8,33.8,177.9,5.33,8.0,2.32
KwaZulu-Natal,Soybean,Loam,254.1,19.5,13.6,113.0,183.6,3.71,23.5,2.19
KwaZulu-Natal,Wheat,Sandy Loam,399.6,19.7,19.9,108.6,102.6,2.89,15.8,2.7
Mpumalanga,Soybean,Sandy,679.3,22.5,41.4,0.0,155.6,2.89,29.1,3.22
KwaZulu-Natal,Soybean,Sandy Loam,632.9,19.7,31.5,7.9,134.0,1.02,77.0,4.14
Limpopo,Soybean,Sandy Loam,399.9,21.0,17.9,64.0,157.4,2.33,48.8,2.86
Limpopo,Wheat,Clay,211.5,24.0,9.2,0.0,106.4,3.54,1.5,1.38
Limpopo,Wheat,Clay,669.5,20.4,32.4,199.2,91.5,2.67,18.2,3.55
KwaZulu-Natal,Soybean,Sandy,441.1,21.9,25.1,76.0,139.4,1.22,1.0,2.27
Free State,Maize,Sandy,212.3,17.0,13.2,50.6,194.2,2.62,61.1,3.67
Limpopo,Sunflower,Sandy Loam,310.6,26.8,20.0,225.6,225.4,2.85,6.3,2.34
North West,Maize,Clay,477.4,23.8,41.7,95.0,196.7,2.17,1.7,5.75
KwaZulu-Natal,Soybean,Clay,627.3,16.2,36.6,231.1,263.8,6.42,12.8,3.7
Limpopo,Maize,Loam,501.0,24.6,27.7,241.0,250.0,3.72,40.4,7.13
Free State,Wheat,Clay,421.6,22.3,24.1,126.3,190.1,5.63,25.2,3.13
KwaZulu-Natal,Soybean,Sandy Loam,537.8,20.5,29.1,91.5,211.6,2.06,10.9,3.23
KwaZulu-Natal,Maize,Loam,449.3,22.2,33.1,50.9,168.0,2.55,51.9,6.02
Limpopo,Maize,Sandy Loam,505.1,19.9,26.5,15.3,99.3,3.88,20.5,5.11
Free State,Soybean,Loam,485.7,17.5,24.2,155.7,154.1,1.93,15.2,3.51
Limpopo,Wheat,Clay,573.8,21.7,27.9,22.1,83.0,0.85,5.5,3.76
Mpumalanga,Maize,Sandy,572.7,18.7,22.0,183.0,134.2,2.54,5.3,5.64
Limpopo,Wheat,Loam,488.9,21.8,28.3,221.1,258.9,2.33,1.2,13.350000000000001
Free State,Maize,Sandy,403.5,15.7,24.1,129.0,150.8,5.16,27.5,4.84
Limpopo,Maize,Clay,569.5,18.9,34.0,87.1,84.4,2.47,7.7,5.73
Mpumalanga,Maize,Clay,637.4,29.0,33.6,228.2,111.0,1.94,6.9,6.31
North West,Soybean,Sandy,566.5,22.9,30.3,171.7,192.9,2.76,13.9,3.17
Free State,Sunflower,Clay,404.6,25.0,34.1,158.6,233.9,2.8,1.8,1.93
KwaZulu-Natal,Wheat,Sandy,387.0,25.2,,220.8,164.7,2.17,9.9,3.41
Mpumalanga,Wheat,Loam,533.9,26.0,30.1,169.7,277.5,3.48,2.7,5.12
KwaZulu-Natal,Maize,Sandy Loam,522.5,18.2,25.7,0.2,223.0,1.15,39.5,6.16
KwaZulu-Natal,Wheat,Sandy,734.3,19.5,34.6,80.1,171.9,2.13,14.9,4.09
Free State,Sunflower,Loam,648.9,23.0,34.4,103.3,190.4,0.51,30.4,3.12
Mpumalanga,Sunflower,Loam,630.1,24.6,31.5,188.2,273.2,1.76,57.7,3.66
Mpumalanga,Wheat,Loam,780.3,19.0,43.3,230.3,133.1,2.42,17.6,5.38
Free State,Sunflower,Loam,469.8,26.4,35.7,212.2,181.4,3.97,2.0,2.78
Free State,Maize,Clay,461.0,21.3,31.5,185.6,116.0,1.01,3.8,6.23
North West,Soybean,Clay,351.9,25.6,11.2,113.1,175.6,0.79,64.1,2.92
Mpumalanga,Maize,Sandy,704.3,25.7,32.3,93.7,202.8,5.01,20.7,6.31
Free State,Sunflower,Sandy Loam,451.3,26.5,29.7,85.4,109.8,5.68,1.1,1.91
Limpopo,Wheat,Sandy,572.5,24.4,30.9,143.8,111.0,4.72,1.7,2.53
KwaZulu-Natal,Sunflower,Loam,369.9,14.7,21.4,192.2,229.1,1.7,12.5,2.61
Mpumalanga,Maize,Clay,931.3,17.6,47.2,156.7,74.0,2.78,2.6,7.47
Limpopo,Sunflower,Sandy Loam,253.5,14.7,24.4,131.5,344.4,1.51,22.0,2.79
Limpopo,Sunflower,Loam,425.5,15.5,22.0,10.1,219.4,2.19,12.1,2.29
KwaZulu-Natal,Maize,Loam,566.7,19.9,36.0,155.8,61.4,1.99,122.4,7.01
Mpumalanga,Sunflower,Sandy,697.1,16.8,39.1,46.2,170.1,3.36,52.3,3.08
Limpopo,Wheat,Sandy,623.6,19.1,42.0,141.9,158.3,4.02,83.1,3.68
Free State,Sunflower,Clay,425.6,26.4,20.1,81.1,132.5,0.31,22.5,2.2
Limpopo,Soybean,Sandy Loam,425.3,23.5,29.9,92.9,251.2,2.12,32.8,3.62
Mpumalanga,Soybean,Clay,674.0,24.4,42.2,70.0,360.7,1.78,89.7,4.44
Limpopo,Sunflower,Loam,790.5,22.3,35.7,67.7,161.3,2.89,1.0,3.31
North West,Sunflower,Clay,557.9,22.6,26.4,149.0,121.2,1.89,25.7,2.48
North West,Soybean,Clay,430.5,26.2,22.0,147.7,170.5,1.65,41.3,2.19
KwaZulu-Natal,Wheat,Loam,519.5,22.8,35.1,120.6,115.8,1.92,15.4,4.1
Mpumalanga,Maize,Loam,606.1,23.8,37.8,200.0,295.5,1.3,42.3,8.09
North West,Wheat,Sandy,450.1,27.8,26.5,179.8,230.9,2.13,11.0,3.88
Free State,Soybean,Sandy Loam,509.9,15.8,28.6,4.4,239.1,2.28,15.4,4.0
KwaZulu-Natal,Maize,Sandy Loam,541.0,20.2,27.7,205.7,292.7,2.5,2.0,6.98
Free State,Soybean,Clay,515.0,17.3,28.2,13.8,74.4,3.74,11.1,2.72
Limpopo,Soybean,Sandy Loam,258.0,24.2,11.2,117.5,222.4,1.08,33.9,2.19
North West,Wheat,Loam,502.6,21.5,,131.8,187.1,1.61,10.3,4.66
KwaZulu-Natal,Soybean,Clay,562.5,23.5,37.2,142.8,233.9,0.62,3.2,3.13
Mpumalanga,Soybean,Sandy,534.7,17.1,15.1,198.4,231.7,3.37,15.2,3.3
Limpopo,Soybean,Loam,769.3,18.8,37.1,89.6,114.4,2.98,1.0,4.44
Free State,Maize,Loam,742.2,21.6,46.0,0.0,220.3,1.19,4.7,8.32
KwaZulu-Natal,Sunflower,Loam,454.7,18.6,23.9,241.6,36.9,4.11,12.3,2.91
Limpopo,Soybean,Sandy,532.1,21.5,34.3,43.0,56.7,0.13,20.7,2.31
Free State,Soybean,Loam,234.4,22.1,16.7,206.4,212.8,3.11,5.3,2.73
North West,Maize,Clay,581.6,24.3,28.6,120.2,188.9,3.72,1.1,5.8
Free State,Wheat,Clay,706.6,17.8,39.3,135.0,113.5,4.01,66.7,4.47
Mpumalanga,Wheat,Clay,679.0,21.6,34.3,269.7,161.8,4.3,29.6,4.6
Free State,Sunflower,Loam,494.4,22.1,24.0,215.1,172.1,0.94,76.3,3.98
KwaZulu-Natal,Wheat,Sandy Loam,569.8,15.1,28.8,155.9,275.4,0.38,18.1,4.89
Limpopo,Wheat,Sandy Loam,321.9,22.6,11.8,121.8,140.9,1.86,42.1,2.71
Limpopo,Wheat,Clay,577.9,23.2,31.4,88.5,275.2,0.89,29.0,4.6
Free State,Maize,Clay,547.8,24.6,25.0,284.7,174.9,3.7,6.0,6.59
KwaZulu-Natal,Soybean,Clay,326.2,18.7,23.2,0.0,183.9,1.13,27.5,2.05
KwaZulu-Natal,Soybean,Loam,772.2,19.1,44.5,145.9,118.7,0.2,71.6,4.46
KwaZulu-Natal,Sunflower,Sandy Loam,664.5,22.2,40.8,136.8,123.2,3.95,31.7,3.24
KwaZulu-Natal,Soybean,Loam,807.7,17.4,50.9,179.7,171.6,3.04,18.7,5.53
KwaZulu-Natal,Maize,Sandy Loam,389.7,22.1,21.0,172.1,74.4,2.1,34.6,4.95
Limpopo,Sunflower,Loam,578.3,21.8,39.7,108.7,214.1,2.57,15.0,3.38
Mpumalanga,Wheat,Loam,693.0,19.9,38.1,243.1,200.8,1.33,3.3,5.62
Limpopo,Sunflower,Sandy,622.1,26.2,29.4,173.9,238.2,4.03,2.3,2.76
Mpumalanga,Soybean,Sandy,495.1,24.2,29.0,157.5,114.7,3.61,4.3,2.57
North West,Wheat,Clay,560.4,20.3,29.5,0.4,166.1,2.53,82.7,2.99
North West,Wheat,Clay,493.9,23.6,27.3,37.8,191.2,3.25,5.8,3.09
KwaZulu-Natal,Soybean,Loam,662.5,19.5,38.5,180.3,102.7,1.01,15.4,3.89
Free State,Maize,Sandy Loam,427.2,18.4,17.5,55.0,207.1,2.41,33.8,6.09
KwaZulu-Natal,Sunflower,Sandy,484.5,19.2,22.7,291.0,206.5,3.19,14.2,2.97
North West,Sunflower,Clay,745.6,20.9,38.7,49.5,245.1,1.38,28.4,3.01
North West,Maize,Loam,575.4,26.5,34.4,105.5,64.5,0.4,33.2,6.8
KwaZulu-Natal,Soybean,Sandy Loam,477.5,26.3,24.4,213.8,199.7,1.57,27.0,4.12
Limpopo,Wheat,Loam,532.0,20.3,21.2,188.5,76.0,4.61,2.6,4.13
Mpumalanga,Wheat,Sandy,563.8,29.7,31.5,93.1,192.3,0.7,13.9,3.21
Mpumalanga,Wheat,Sandy,562.4,27.2,28.7,10.8,83.7,1.92,72.1,3.24
Mpumalanga,Wheat,Sandy Loam,321.7,27.7,16.7,182.3,223.0,1.42,7.4,3.51
North West,Soybean,Sandy Loam,976.3,19.0,45.2,148.8,280.4,2.58,13.7,6.13
Mpumalanga,Wheat,Clay,623.2,25.1,38.5,0.0,297.5,1.12,55.0,4.54
North West,Maize,Sandy Loam,357.8,21.1,20.9,73.5,170.3,5.17,14.0,4.95
Limpopo,Sunflower,Sandy,578.0,18.5,29.6,45.5,151.2,2.19,1.6,1.91
KwaZulu-Natal,Soybean,Sandy,508.2,26.6,19.6,44.2,245.9,3.09,40.4,2.91
North West,Maize,Clay,562.8,21.2,36.8,93.3,111.6,2.34,1.0,6.05
Mpumalanga,Maize,Clay,499.4,21.6,34.4,11.9,74.0,1.36,51.9,4.65
Free State,Sunflower,Loam,308.2,23.2,23.8,213.0,164.9,1.91,17.5,2.01
Free State,Soybean,Loam,639.6,22.0,36.0,208.5,183.9,2.97,9.3,4.98
North West,Wheat,Sandy Loam,662.0,22.9,,105.2,159.6,0.98,53.7,4.96
Limpopo,Maize,Clay,613.5,18.6,32.8,54.7,196.9,3.33,8.2,6.3
North West,Soybean,Loam,662.7,23.8,49.3,22.8,93.9,1.78,30.4,4.23
KwaZulu-Natal,Wheat,Clay,285.6,25.1,18.9,0.0,180.2,3.78,14.5,2.29
Limpopo,Sunflower,Clay,584.4,21.2,26.3,109.4,20.0,1.87,18.2,2.12
North West,Sunflower,Clay,302.4,23.0,27.1,175.6,124.9,2.21,39.6,1.13
Limpopo,Sunflower,Sandy,529.6,28.9,31.5,0.0,214.5,2.54,26.6,1.28
Limpopo,Sunflower,Loam,392.9,20.7,17.0,121.2,184.1,3.01,24.7,2.58
Mpumalanga,Sunflower,Sandy Loam,819.6,21.1,38.6,13.4,113.1,2.56,13.5,3.24
Free State,Sunflower,Sandy Loam,449.3,20.1,21.7,67.4,182.3,0.88,15.3,2.52
KwaZulu-Natal,Wheat,Clay,534.6,25.6,28.0,69.5,200.7,2.26,90.4,3.97
Mpumalanga,Sunflower,Clay,563.9,21.3,25.3,23.7,86.3,3.2,47.4,2.34
Free State,Wheat,Loam,452.5,22.5,27.7,21.7,173.0,1.24,29.7,3.76
Mpumalanga,Sunflower,Sandy,608.1,21.3,31.1,182.2,146.8,1.57,30.7,2.24
Free State,Wheat,Clay,355.5,22.3,20.8,33.0,295.9,2.22,7.9,3.17
KwaZulu-Natal,Maize,Loam,709.8,24.8,37.9,120.8,181.1,1.01,93.3,8.12
KwaZulu-Natal,Soybean,Clay,578.9,19.7,30.0,245.4,170.5,0.7,71.9,3.94
Mpumalanga,Wheat,Sandy Loam,426.0,18.4,38.0,39.9,130.1,0.98,12.5,3.17
KwaZulu-Natal,Maize,Clay,481.8,29.6,28.4,85.5,278.7,1.26,12.6,5.04
Mpumalanga,Sunflower,Sandy,637.9,27.9,39.7,96.1,193.0,1.59,25.6,2.55
KwaZulu-Natal,Maize,Sandy Loam,518.4,27.1,19.9,147.5,127.9,1.33,45.6,6.27
Mpumalanga,Soybean,Sandy Loam,557.8,22.8,27.6,17.4,181.3,3.64,7.1,3.36
North West,Sunflower,Sandy Loam,884.0,26.3,46.7,131.4,157.3,1.71,23.1,4.32
North West,Maize,Clay,812.1,21.2,37.7,174.1,227.6,2.91,27.7,7.33
North West,Soybean,Sandy,283.5,23.8,21.8,94.3,171.5,0.83,39.7,1.89
North West,Sunflower,Loam,481.9,22.3,31.4,263.4,199.2,1.65,21.5,3.11
Free State,Sunflower,Loam,671.0,24.8,35.8,230.7,41.9,1.79,3.9,2.85
North West,Sunflower,Sandy Loam,595.0,23.1,32.9,0.0,300.5,4.9,83.5,2.41
Free State,Sunflower,Sandy,561.4,25.7,26.2,82.1,175.3,4.04,3.6,1.47
Free State,Soybean,Sandy,783.1,17.3,51.3,131.3,319.9,0.27,7.4,4.29
Mpumalanga,Maize,Sandy Loam,269.7,20.2,17.9,155.7,49.4,1.16,7.5,4.11
KwaZulu-Natal,Maize,Loam,761.6,19.5,44.7,145.4,169.9,3.26,37.9,8.28
North West,Wheat,Sandy,349.2,25.2,17.3,252.6,132.3,0.91,9.5,3.66
Mpumalanga,Sunflower,Loam,711.1,24.8,44.7,99.2,192.8,3.4,25.8,3.23
Limpopo,Soybean,Loam,672.8,14.9,35.1,132.3,108.6,2.32,6.3,3.54
Free State,Maize,Clay,502.4,17.9,27.8,168.3,89.7,3.6,6.8,5.72
Limpopo,Maize,Clay,296.2,27.2,16.1,218.0,102.7,3.54,6.4,4.34
North West,Sunflower,Clay,757.1,18.4,39.6,143.5,58.2,4.03,5.1,2.22
KwaZulu-Natal,Wheat,Loam,590.9,17.3,39.0,239.5,224.3,4.11,6.9,5.3
Limpopo,Wheat,Clay,707.8,25.5,45.9,0.0,132.4,1.07,1.4,4.04
KwaZulu-Natal,Wheat,Loam,861.5,19.1,42.3,84.9,311.6,3.13,1.0,6.56
Mpumalanga,Wheat,Loam,437.4,23.9,25.7,220.7,205.6,1.92,3.1,4.75
Free State,Sunflower,Clay,473.7,22.6,32.3,180.4,196.0,0.73,42.5,2.81
Free State,Sunflower,Clay,543.2,24.7,34.4,0.0,266.7,0.49,18.6,2.05
Free State,Sunflower,Clay,370.6,22.5,16.7,114.7,163.8,1.37,12.4,2.2
Free State,Wheat,Loam,665.4,25.1,41.1,1.8,75.1,2.88,16.9,3.79
KwaZulu-Natal,Wheat,Clay,681.7,17.7,32.5,0.0,195.0,3.68,9.6,4.02
Limpopo,Soybean,Clay,618.6,23.8,28.7,145.3,221.3,2.82,2.9,4.21
Mpumalanga,Maize,Sandy,629.8,17.1,39.7,66.3,163.5,0.79,25.0,6.58
KwaZulu-Natal,Wheat,Clay,809.0,23.1,44.5,143.6,217.8,2.18,22.1,5.65
Free State,Soybean,Loam,411.3,23.2,24.1,161.1,287.1,1.19,3.0,4.69
KwaZulu-Natal,Soybean,Clay,252.5,23.6,9.3,19.4,140.2,2.09,27.8,5.7299999999999995
Mpumalanga,Sunflower,Sandy Loam,762.6,29.0,42.5,0.0,211.7,0.83,32.5,2.39
